Date,Type,Price
2023-01-02,Close,67.669998
2023-01-03,Open,67.980003
2023-01-03,Close,68.669998
2023-01-04,Open,68.290001
2023-01-04,Close,68.730003
2023-01-05,Open,67.889999
2023-01-05,Close,66.919998
2023-01-06,Open,67.000000
2023-01-06,Close,66.879997
2023-01-09,Open,67.510002
2023-01-09,Close,67.949997
2023-01-10,Open,68.000000
2023-01-10,Close,67.080002
2023-01-11,Open,67.080002
2023-01-11,Close,67.540001
2023-01-12,Open,67.500000
2023-01-12,Close,67.150002
2023-01-13,Open,67.209999
2023-01-13,Close,67.180000
2023-01-16,Open,68.010002
2023-01-16,Close,68.260002
2023-01-17,Open,68.449997
2023-01-17,Close,68.050003
2023-01-18,Open,68.010002
2023-01-18,Close,68.199997
2023-01-19,Open,68.070000
2023-01-19,Close,66.739998
2023-01-20,Open,67.410004
2023-01-20,Close,67.589996
2023-01-23,Open,67.870003
2023-01-23,Close,67.519997
2023-01-24,Open,67.699997
2023-01-24,Close,67.309998
2023-01-25,Open,67.300003
2023-01-25,Close,67.250000
2023-01-27,Open,67.860001
2023-01-27,Close,67.470001
2023-01-30,Open,67.459999
2023-01-30,Close,67.449997
2023-01-31,Open,67.570000
2023-01-31,Close,66.980003
2023-02-01,Open,67.750000
2023-02-01,Close,68.709999
2023-02-02,Open,69.519997
2023-02-02,Close,70.599998
2023-02-03,Open,69.480003
2023-02-03,Close,68.879997
2023-02-06,Open,67.500000
2023-02-06,Close,66.919998
2023-02-07,Open,66.699997
2023-02-07,Close,66.809998
2023-02-08,Open,66.790001
2023-02-08,Close,66.839996
2023-02-09,Open,66.839996
2023-02-09,Close,66.739998
2023-02-10,Open,66.190002
2023-02-10,Close,66.040001
2023-02-13,Open,66.000000
2023-02-13,Close,65.620003
2023-02-14,Open,65.790001
2023-02-14,Close,65.559998
2023-02-15,Open,65.470001
2023-02-15,Close,64.800003
2023-02-16,Open,66.300003
2023-02-16,Close,64.980003
2023-02-17,Open,65.040001
2023-02-17,Close,64.110001
2023-02-20,Open,64.500000
2023-02-20,Close,65.330002
2023-02-21,Open,67.300003
2023-02-21,Close,65.120003
2023-02-22,Open,65.430000
2023-02-22,Close,65.220001
2023-02-23,Open,64.889999
2023-02-23,Close,64.529999
2023-02-24,Open,64.709999
2023-02-24,Close,63.900002
2023-02-27,Open,63.959999
2023-02-27,Close,62.910000
2023-02-28,Open,62.910000
2023-02-28,Close,62.480000
2023-03-01,Open,63.419998
2023-03-01,Close,63.759998
2023-03-02,Open,63.590000
2023-03-02,Close,63.209999
2023-03-03,Open,63.779999
2023-03-03,Close,63.540001
2023-03-06,Open,63.900002
2023-03-06,Close,63.720001
2023-03-08,Open,62.500000
2023-03-08,Close,61.299999
2023-03-09,Open,61.490002
2023-03-09,Close,60.939999
2023-03-10,Open,60.980000
2023-03-10,Close,61.259998
2023-03-13,Open,61.980000
2023-03-13,Close,63.099998
2023-03-14,Open,64.660004
2023-03-14,Close,64.910004
2023-03-15,Open,65.309998
2023-03-15,Close,65.400002
2023-03-16,Open,65.519997
2023-03-16,Close,66.239998
2023-03-17,Open,66.110001
2023-03-17,Close,65.889999
2023-03-20,Open,66.820000
