Date,Open
2022-07-26,54.450001
2022-07-27,54.290001
2022-07-28,55.250000
2022-07-29,56.200001
2022-08-01,57.599998
2022-08-02,57.700001
2022-08-03,57.049999
2022-08-04,57.000000
2022-08-05,57.900002
2022-08-08,57.099998
2022-08-10,57.799999
2022-08-11,58.200001
2022-08-12,58.500000
2022-08-16,58.099998
2022-08-17,57.799999
2022-08-18,57.110001
2022-08-19,56.500000
2022-08-22,55.400002
2022-08-23,54.990002
2022-08-24,55.450001
2022-08-25,55.500000
2022-08-26,55.750000
2022-08-29,55.560001
2022-08-30,59.799999
2022-09-01,54.000000
2022-09-02,52.599998
2022-09-05,53.000000
2022-09-06,53.790001
2022-09-07,53.259998
2022-09-08,53.590000
2022-09-09,54.500000
2022-09-12,54.689999
2022-09-13,55.669998
2022-09-14,55.889999
2022-09-15,56.400002
2022-09-16,55.740002
2022-09-19,55.500000
2022-09-20,56.200001
2022-09-21,55.990002
2022-09-22,56.389999
2022-09-23,57.349998
2022-09-26,53.000000
2022-09-27,54.939999
2022-09-28,54.900002
2022-09-29,54.500000
2022-09-30,55.700001
2022-10-03,56.299999
2022-10-04,58.910000
2022-10-06,59.509998
2022-10-07,60.410000
2022-10-10,61.000000
2022-10-11,57.980000
2022-10-12,56.939999
2022-10-13,56.900002
2022-10-14,56.580002
2022-10-17,56.000000
2022-10-18,55.980000
2022-10-19,56.000000
2022-10-20,55.250000
2022-10-21,55.980000
2022-10-24,57.009998
2022-10-25,56.950001
2022-10-27,59.990002
2022-10-28,57.759998
2022-10-31,57.250000
2022-11-01,57.689999
2022-11-02,58.310001
2022-11-03,58.369999
2022-11-04,57.490002
2022-11-07,59.619999
2022-11-09,60.900002
2022-11-10,60.730000
2022-11-11,62.209999
2022-11-14,61.450001
2022-11-15,61.500000
2022-11-16,61.500000
2022-11-17,60.830002
2022-11-18,60.840000
2022-11-21,61.820000
2022-11-22,60.400002
2022-11-23,60.790001
2022-11-24,61.000000
2022-11-25,61.790001
2022-11-28,60.099998
2022-11-29,61.419998
2022-11-30,61.380001
2022-12-01,62.000000
2022-12-02,62.889999
2022-12-05,64.000000
2022-12-06,64.389999
2022-12-07,64.000000
2022-12-08,64.980003
2022-12-09,65.709999
2022-12-12,65.000000
2022-12-13,66.239998
2022-12-14,66.510002
2022-12-15,66.489998
2022-12-16,65.680000
